direction,meilleur_score,marge,palier
DSPCT,0.2149101346731186,0.0006058067083358765,<0.45 (article entier)
DSPCT,0.3016677796840668,0.0064272284507751465,<0.45 (article entier)
DSPCT,0.21138837933540344,0.0034282803535461426,<0.45 (article entier)
DSPCT,0.24594683945178986,0.03924493491649628,<0.45 (article entier)
DSPCT,0.15085795521736145,0.059050239622592926,<0.45 (article entier)
DSPCT,0.3327500820159912,0.04925382137298584,<0.45 (article entier)
DSPCT,0.11021260172128677,0.00560334324836731,<0.45 (article entier)
DSPCT,0.2936907410621643,0.055491119623184204,<0.45 (article entier)
DSPCT,0.19166122376918793,0.03634117543697357,<0.45 (article entier)
DSPCT,0.3697890043258667,0.0036545097827911377,<0.45 (article entier)
DSPCT,0.24484606087207794,0.01878643035888672,<0.45 (article entier)
DSPCT,0.0872006043791771,0.027816664427518845,<0.45 (article entier)
DSPCT,0.14452163875102997,0.017235830426216125,<0.45 (article entier)
DAAJJ,0.7875086665153503,0.07461792230606079,>0.75 (tiret exact)
DAAJJ,0.43713781237602234,0.013762712478637695,<0.45 (article entier)
DAAJJ,0.5341758728027344,0.009416341781616211,0.45-0.65 (top 3)
DAAJJ,0.767982542514801,0.06801426410675049,>0.75 (tiret exact)
DAAJJ,0.4825616180896759,0.014777392148971558,0.45-0.65 (top 3)
DAAJJ,0.42545297741889954,0.0015806853771209717,<0.45 (article entier)
DAAJJ,0.8227401375770569,0.06955772638320923,>0.75 (tiret exact)
DAAJJ,0.46386271715164185,0.015104562044143677,0.45-0.65 (top 3)
DAAJJ,0.5189989805221558,0.005555450916290283,0.45-0.65 (top 3)
DAAJJ,0.7187625169754028,0.00023353099822998047,0.65-0.75 (zone grise)
DAAJJ,0.4672390818595886,0.008559048175811768,0.45-0.65 (top 3)
DAAJJ,0.49414315819740295,0.018110930919647217,0.45-0.65 (top 3)
DAAJJ,0.8119685649871826,0.07108104228973389,>0.75 (tiret exact)
DAAJJ,0.4172220528125763,0.020482391119003296,<0.45 (article entier)
DAAJJ,0.5162332653999329,0.011349797248840332,0.45-0.65 (top 3)
DAAJJ,0.7999913692474365,0.06414777040481567,>0.75 (tiret exact)
DAAJJ,0.4808707535266876,0.012804478406906128,0.45-0.65 (top 3)
DAAJJ,0.8033216595649719,0.0643969178199768,>0.75 (tiret exact)
DAAJJ,0.4420906603336334,0.0021700263023376465,<0.45 (article entier)
DAAJJ,0.5311376452445984,0.007764279842376709,0.45-0.65 (top 3)
DAAJJ,0.7946402430534363,0.05814152956008911,>0.75 (tiret exact)
DAAJJ,0.5380997657775879,0.020557880401611328,0.45-0.65 (top 3)
DAAJJ,0.8225021958351135,0.07858234643936157,>0.75 (tiret exact)
DAAJJ,0.5298360586166382,0.003628671169281006,0.45-0.65 (top 3)
DAAJJ,0.491716593503952,0.020571142435073853,0.45-0.65 (top 3)
DAAJJ,0.8255636692047119,0.07823699712753296,>0.75 (tiret exact)
DAAJJ,0.43809202313423157,0.015964925289154053,<0.45 (article entier)
